track,vector
3ZLyt2ndLFBh148XRYjYYZ,1.0765853 2.1659422 1.7028283 1.883052 -1.2667483
7qiZfU4dY1lWllzX7mPBI3,1.8286359 -1.9614977 2.1141481 2.401272 -1.0427437
67T6l4q3zVjC5nZZPXByU8,2.490421 0.87543523 -1.7003012 0.65184134 -3.0659513
3W3KtDwAIg3mAruSpnfG3Q,2.6071904 -1.4902841 0.53274614 1.9323094 -6.238615
5KY7zgFeH2GWoL1zP9mME6,3.4494 2.8398378 -2.8072407 0.37210393 -0.99620277
2Oehrcv4Kov0SuIgWyQY9e,3.3021674 0.9932139 -2.0814402 0.07858709 -3.0118742
2EEeOnHehOozLq4aS0n6SL,1.9729451 1.4123843 2.2533252 -0.15996575 -0.9085208
5Q0Nhxo0l2bP3pNjpGJwV1,3.5004237 -1.449988 -0.47795436 0.18492545 -3.7876213
0pSBuHjILhNEo55xK1zrRt,3.1899855 -1.4382513 2.4266257 -0.12935647 -1.0158191
34oWbFBfGEElvgO0a5c9V4,1.9451545 1.6941304 1.3805043 2.0835454 1.1153811
2PpruBYCo4H7WOBJ7Q2EwM,1.6657311 3.2293878 0.0061062286 0.69555426 -0.963088
7GX5flRQZVHRAGd6B4TmDO,1.5775326 2.8639889 1.7458963 1.6666037 0.9487645
3S0OXQeoh0w6AY8WQVckRW,1.6576644 1.4278946 -1.2117558 1.2673032 -1.2018427
3hB5DgAiMAQ4DzYbsMq1IT,3.1278117 -0.14797615 2.544055 -0.70511514 -4.709699
6gBFPUFcJLzWGx4lenP6h2,1.546934 3.5456982 1.1672059 1.7121582 0.77292144
7KwZNVEaqikRSBSpyhXK2j,1.5137324 5.167848 4.979603 4.0307274 0.04284475
0i5el041vd6nxrGEU8QRxy,2.0899656 -2.147949 2.384137 2.046624 -2.2773378
2CvOqDpQIMw69cCzWqr5yr,2.0293763 2.9098485 0.66001666 -0.1773357 -0.9073731
5CtI0qwDJkDQGwXD1H1cLb,1.4950598 0.80433875 0.3295868 1.1034954 -1.22484
4Km5HrUvYTaSUfiSGPJeQR,2.1848955 2.9213884 0.14842196 1.323752 -0.24905136
3bidbhpOYeV4knp8AIu8Xn,2.8741436 0.60448587 0.14710063 -0.31046426 -2.8949287
4tCtwWceOPWzenK2HAIJSb,2.0027993 0.4627144 1.9095733 -0.49461627 -3.2203825
7KXjTSCq5nL1LoYtL7XAwS,0.73955804 2.0473733 1.3476304 1.1774944 -1.4677504
343YBumqHu19cGoGARUTsd,2.0244555 0.11433707 0.35975322 1.3726946 -0.9441248
439TlnnznSiBbQbgXiBqAd,0.66360813 4.045012 2.07789 1.2087978 -2.6407638
3pfXxHoydFRfD7IBGJTQAN,1.2076952 1.4317495 0.17628522 0.85450697 -1.0172279
1a1i2IwXnUN0PjllVEhA4B,2.6800373 0.5232012 0.5474248 1.0665351 -0.14758609
0PJIbOdMs3bd5AT8liULMQ,1.5739027 1.162169 1.2563332 -0.029865386 -2.9824696
6FE2iI43OZnszFLuLtvvmg,2.2357607 -0.04609279 0.4339807 0.8670464 -1.8744457
2Z2vOukzwOgqR4dkymRSWd,2.0723803 0.5702331 0.36500937 0.67037994 -1.328233
0VgkVdmE4gld66l8iyGjgx,1.4148885 3.5720623 1.7688164 1.2653177 0.6043031
4Kz4RdRCceaA9VgTqBhBfa,2.4700723 2.3752396 -2.601623 1.5062777 -2.6763012
2jyjhRf6DVbMPU5zxagN2h,3.6663458 -1.2468497 -1.0323794 2.120755 -2.2256017
1mr3616BzLdhXfJmLmRsO8,6.076187 -0.13863316 -1.9033614 -0.43166065 -2.2656999
1VdZ0vKfR5jneCmWIUAMxK,2.89354 0.85194176 0.5563027 1.9188381 0.5283351
6C7RJEIUDqKkJRZVWdkfkH,1.4815779 1.6568967 0.61074907 0.7590542 -1.0036741
12REd1n8PeiHHWOh066tpr,2.4811685 0.80573833 0.6431226 1.1212591 -0.9884891
7fYbFYt7X4FZvuJJC90EX0,2.5370567 -1.2915056 0.71015686 0.69379085 -5.072405
4llK75pXNWZz6KAho2Gp16,1.9929175 1.6917928 -2.269505 2.175006 -1.7919854
62vpWI1CHwFy7tMIcSStl8,1.5292461 3.681355 1.664507 -0.7449713 -2.252216
12qZHAeOyTf93YAWvGDTat,2.2774308 0.56004155 0.892161 0.86412454 -0.17600262
152lZdxL1OR0ZMW6KquMif,1.364401 0.764823 1.3700398 2.7196782 -0.96314853
3ESSGgWzRf1xvP7G5hHMhB,3.9102924 2.1189144 0.8636096 0.2369342 0.54206514
4VrWlk8IQxevMvERoX08iC,2.7554832 -1.2961452 1.7955284 0.99162424 -4.535163
4E5P1XyAFtrjpiIxkydly4,3.0636086 -2.2648027 -0.11425946 1.9049686 -2.5222754
5dNfHmqgr128gMY2tc5CeJ,2.5232444 1.1028994 0.23301099 0.69075465 -0.53437066
6WQLkih8nE0JdUCEyLaGnQ,2.3976398 -0.633416 0.40314102 1.7770348 -1.5259614
6UaRii9AH6Zss9xNMEQ2M9,1.2890205 0.45570815 0.6317751 0.46640873 -1.0408423
2vwlzO0Qp8kfEtzTsCXfyE,2.2880478 -0.17011271 0.061220687 1.2015818 -0.6069025
2gam98EZKrF9XuOkU13ApN,1.7781209 1.7642208 -1.0304599 0.74244076 -1.07633
1CdkNxTlkUWR4ZnXcKES3b,1.621168 1.3566947 0.4434644 0.44035637 -1.1920019
7wMq5n8mYSKlQIGECKUgTX,2.2220454 0.31545383 1.0590386 1.2005217 -0.71241164
1Ser4X0TKttOvo8bgdytTP,2.3608563 -0.3075899 0.9357731 0.12544605 -1.9643443
19gEmPjfqSZT0ulDRfjl0m,2.9279659 0.9234426 0.018208286 0.92453676 0.07594105
46GGxd8TVRt6FjUBfCavVT,3.3555813 -2.1422331 1.5896097 -0.52202713 -3.6654859
5HuqzFfq2ulY1iBAW5CxLe,1.3914075 0.5703238 0.50894254 0.28021735 -1.0704696
6rbeWjEavBHvX2kr6lSogS,3.112209 0.6914776 -0.9540453 1.1148423 -0.40823007
5AyL2kgLtTWEu3qO3B9SqK,2.3173022 1.2437011 -1.6765103 1.7446682 -4.175158
5OOkp4U9P9oL23maHFHL1h,1.849061 0.7168303 -0.8893731 0.82713777 -2.169149
1fDsrQ23eTAVFElUMaf38X,2.4729204 0.40995142 1.745506 1.3368877 0.35228625
2iUmqdfGZcHIhS3b9E9EWq,1.5584038 0.38368064 0.5796478 1.2051214 -0.8308725
32FX4D4eT8LFP07QvlhSn8,1.1238492 1.1671801 1.567844 1.3436743 -1.4423351
7iL6o9tox1zgHpKUfh9vuC,4.1455536 1.6254395 -2.6414318 1.2880108 -0.83186716
7o2CTH4ctstm8TNelqjb51,2.1023896 0.1527499 0.3995838 1.0984466 -1.0840229
1AhDOtG9vPSOmsWgNW0BEY,1.0848242 0.35245872 0.2658203 1.2949127 -0.9414598
1XHjU0TGIgl5lMFKAF25Y3,2.979161 -1.0384383 0.11696773 0.96726906 -1.968668
75JFxkI2RXiU7L9VXzMkle,2.5732055 0.54505455 -0.55413103 2.558511 0.5660644
7oK9VyNzrYvRFo7nQEYkWN,1.5154108 0.66905785 0.73787576 0.6220791 -0.71069825
3vsNteZn6E5qBSSBO78W7b,2.1617613 1.3397456 -0.9799388 1.3227994 -0.89901584
0d8ZbnRoW1TJ3qEleTrYHH,2.375099 0.57111657 1.8812938 0.27066487 -0.2416893
72jbDTw1piOOj770jWNeaG,1.8480753 -1.380672 1.2447308 1.9405018 -1.1609968
0O45fw2L5vsWpdsOdXwNAR,1.763301 1.0556636 -0.8446277 0.9089989 -1.7861152
5v7kaZNsnyByrSJOfO8gKq,2.3887892 1.2528938 0.28191552 1.4162546 0.21447064
5j9iuo3tMmQIfnEEQOOjxh,1.8731354 0.6049845 -0.6798802 0.99404734 -2.1416988
66hayvUbTotekKU3H4ta1f,2.8519895 0.30321753 2.2297258 -0.69946134 -2.2141721
6RrXd9Hph4hYR4bf3dbM6H,2.1439435 2.0757887 -0.8796936 1.6730343 -0.39623687
4KW1lqgSr8TKrvBII0Brf8,2.3924968 0.7071854 0.42873475 0.5148234 -0.036948632
0HZhYMZOcUzZKSFwPOti6m,2.2966547 0.51876783 -0.18306138 0.98698884 0.20679478
1LxKKYsJNPeBdOwdudsJzv,3.1869555 -0.36212775 1.8371259 -0.8524126 -2.3368464
6Ep6BzIOB9tz3P4sWqiiAB,2.4054313 0.3716381 0.75315213 0.7373311 -1.5235852
5fVZC9GiM4e8vu99W0Xf6J,1.4226303 1.2623289 -0.3362085 1.2696028 -1.2957648
20LxTsa6936zOlzTWqoPVt,1.3703161 1.3680816 0.07316673 1.5147967 -0.3997896
4P7VFiaZb3xrXoqGwZXC3J,2.0131938 0.6387093 0.52555346 0.76267827 -0.6127209
5TvE3pk05pyFIGdSY9j4DJ,3.9429796 -0.45603827 0.5336139 1.9510195 0.45937875
0EMmVUYs9ZZRHtlADB88uz,1.8223243 1.4625933 -0.9491659 1.6572268 -0.6372514
2gZUPNdnz5Y45eiGxpHGSc,1.2350922 0.67199415 0.6613059 0.69643116 -0.86923337
5wTMQjEx9LWeFwLjolPCUy,2.4872384 0.79980075 0.7493556 0.67609596 -0.5338975
7t5m6zRwIEBxmPt8lNoPPi,3.419686 0.07840661 -0.45615658 1.8314118 -0.8591961
22L7bfCiAkJo5xGSQgmiIO,2.0808222 1.4624836 -0.8131146 0.7108206 0.005075769
76Y0gxtTxN0FyDCYh5qYQj,1.270762 1.9870515 0.39435187 1.815214 0.15988983
7lL3MvFWFFSD25pBz72Agj,1.9688029 3.8116665 1.0869297 -0.31056744 -2.2073843
0LWQWOFoz5GJLqcHk1fRO2,2.5788426 2.259385 -0.2059235 0.5543785 0.08349385
1jdNcAD8Ir58RlsdGjJJdx,3.549465 0.63618803 -0.37124068 1.2941604 -0.36047238
62LHRv9uwSNlBmByQF5jdE,3.6570387 1.177176 -0.94862777 -0.12161278 -0.5020652
3KYiA4vq6RPO1dE2XROXd8,1.8189911 0.5636774 1.191741 1.6965532 -0.44156876
1XGmzt0PVuFgQYYnV2It7A,1.2306988 1.0834473 1.7751691 1.5353382 -1.5194676
4WjH9Bzt3kx7z8kl0awxh4,1.785002 0.12684114 1.4349955 0.48657387 -1.3099552
0sFvItEeMstcUyZCleYgyj,2.3593032 0.6910562 0.67020226 2.8081908 -0.00045805308
1lzr43nnXAijIGYnCT8M8H,2.3487666 2.4386084 -1.0379837 0.67479104 -1.5544119
7ID2dydg1QFuWObmdhwzfm,2.0625446 0.21008132 1.3834465 1.3784974 0.6461797
1AWQoqb9bSvzTjaLralEkT,2.130904 2.311486 -0.68387675 0.14036974 -0.8988241
36bOT34EdRNrNhCWMwNJKu,1.427838 0.6303726 0.24660118 1.6693193 -0.9743924
4dASQiO1Eoo3RJvt74FtXB,1.2827102 1.4524719 0.65009975 0.12739861 -1.3488156
5uCax9HTNlzGybIStD3vDh,1.4024864 -0.00917404 1.4511937 1.6913263 -0.94867957
6Ius4TC0L3cN74HT7ENE6e,1.8194128 3.7135432 0.63402784 0.38113028 -1.434179
3iVcZ5G6tvkXZkZKlMpIUs,0.30261582 2.7347841 2.3970973 2.0770633 -3.3471177
16qYlQ6koFxYVbiJbGHblz,1.5714685 2.4929953 1.4832335 -0.06033932 -1.9362043
40YcuQysJ0KlGQTeGUosTC,2.422193 0.61159074 2.6862366 -1.5040469 -3.1649442
1yxgsra98r3qAtxqiGZPiX,1.4091043 2.0420568 0.46690935 0.82204777 0.3238568
4w7yrP4RAeeyhfG9nJqQvS,2.5539477 2.8450708 1.4592575 0.26047894 -0.1921668
3VzJE6yGuj8fDExUh6TLnc,4.39702 1.6579407 -3.0377114 1.3956206 -0.69789374
2XMTqoHHSH0lvuXrvIEdco,1.6031901 0.77234095 0.24397685 0.75785494 -1.3551481
5HGibWoxnkYSkl6mHmAlOE,1.4859836 1.0017498 0.6139371 0.7767008 -1.0428039
39afswHs17v53znQm1gDTY,2.6163638 1.1204808 1.2044587 -0.17326136 -1.5046415
73jJWaNrhk8zS0fY8gPesD,1.9892151 -1.3918322 0.33092445 2.7486067 -2.1395085
6GBUsjHfZuweYf5lQEz6mP,1.7002317 -1.8811015 2.1361537 2.3465757 -2.0776443
5VGlqQANWDKJFl0MBG3sg2,1.7530812 0.79838 0.2477255 0.8835268 -0.573424
6p8NuHm8uCGnn2Dtbtf7zE,1.2257544 2.0832632 1.3538122 1.2771055 0.25765392
7r6am67jCRvroqkkE2TS8y,1.4271898 -0.47283006 -0.02301581 1.6681054 -0.81391567
4Pwjz3DfvfQWV0rO2V8jyh,0.85347736 3.9264843 1.884695 0.42245427 -1.7872071
0QsvXIfqM0zZoerQfsI9lm,1.9395955 -0.7217378 1.6283213 0.47561103 -2.6476629
5ByAIlEEnxYdvpnezg7HTX,1.287957 4.170349 4.0142508 2.5288944 -0.29234782
7vRriwrloYVaoAe3a9wJHe,3.0638847 1.7952129 3.8848417 -1.6099151 -3.6800394
5FEXPoPnzueFJQCPRIrC3c,2.9498887 2.6079707 1.1735195 1.2554446 0.2671068
3yfqSUWxFvZELEM4PmlwIR,2.094141 2.3632703 1.7302055 -0.2656273 -1.5546647
5lDriBxJd22IhOH9zTcFrV,2.1349988 0.40841997 0.15403883 1.2146897 -0.51002836
11bD1JtSjlIgKgZG2134DZ,2.9279675 0.027038231 -0.12560399 1.8317287 0.36451745
4LfkoDOt4mhrbo8Ndk37sQ,2.2922106 0.6689441 1.1101509 2.309726 -1.1926992
4bHsxqR3GMrXTxEPLuK5ue,2.0715883 -1.0475049 -0.08791861 1.9503615 -2.2756288
0IqKeD8ZSP72KbGYyzEcAs,2.7228377 0.31410092 0.6243356 1.3113047 0.5217821
6RUKPb4LETWmmr3iAEQktW,1.4797765 -2.0147438 1.50649 2.6083386 -1.1879085
5qqabIl2vWzo9ApSC317sa,1.8624182 1.2890061 1.4115244 1.5718527 0.21419899
4scpF6J5uMBvoh6sFB7EL1,2.3783164 0.06811743 0.1873616 0.15012068 -2.2102053
3nAq2hCr1oWsIU54tS98pL,1.4094881 2.252249 0.8121891 1.9520477 -0.011176311
3xqF04FdMK7gpIPG3SPFpY,1.8047336 0.68074876 0.6592689 1.0713933 -1.1689746
4EnkwZd0UJAuHpNMMemQaA,2.530453 0.22897618 1.2683121 1.1590965 -0.7106911
7EiZI6JVHllARrX9PUvAdX,3.5686915 1.7092716 3.306156 -2.026253 -2.6534913
5l3CML2OnzfNs5RfVgbcLt,2.7013638 -0.77714604 1.3485578 0.30168015 -3.2409198
5yuShbu70mtHXY0yLzCQLQ,1.8514879 0.46460843 0.9522415 1.3176293 0.015012288
3a1lNhkSLSkpJE4MSHpDu9,1.6265011 2.6981766 0.6827916 0.6377596 -0.37531993
0Dc7J9VPV4eOInoxUiZrsL,2.2107155 0.4586832 -0.2609904 1.1130314 -0.59883755
0azC730Exh71aQlOt9Zj3y,1.4275724 -0.8643595 1.4876386 1.4825922 -1.0730838
2g8HN35AnVGIk7B8yMucww,1.4538568 4.0763583 4.1176157 3.0729954 -0.3647651
27SdWb2rFzO6GWiYDBTD9j,2.8200557 -0.7324546 1.7819096 -0.36840665 -4.5084424
4pdPtRcBmOSQDlJ3Fk945m,1.4130404 0.4676317 0.58014387 0.88431466 -0.8611909
53gcDgFyqqpvCzXWrnFZpH,2.436998 0.14816442 2.1146574 1.1192567 -0.5799658
4Q3N4Ct4zCuIHuZ65E3BD4,1.4321603 2.6392627 1.6763407 0.87125427 0.37204063
4r8lRYnoOGdEi6YyI5OC1o,3.1397533 1.0392548 1.4464366 0.9436971 -0.06096378
2fQrGHiQOvpL9UgPvtYy6G,1.5453712 1.2392877 0.71156174 1.6794792 0.22234055
4B3RmT3cGvh8By3WY9pbIx,2.7005908 -0.8478439 1.9188106 1.297226 -0.90847796
2FBUoWkIuQXwayw2RNo5l6,3.5828233 0.39887413 2.7549684 -1.4504007 -3.2538562
5nkYHBWXu7KCgcdwP6jcB1,1.7199404 0.47639814 0.46267802 0.6175494 -0.7140405
3U3Ff8ZvL6oEu1r98gCCWW,2.8353684 4.4267344 0.7849082 1.0257719 -0.56602174
7m47Go71qTMBs4kTH7U8F8,1.289141 1.8173699 0.98210835 1.4081004 -1.0874223
6dViIgkYIRccNImPln58rS,2.256985 1.1118276 0.08892086 0.32187974 -0.079261966
6fxVffaTuwjgEk5h9QyRjy,2.098401 1.0167729 0.69369787 0.27660728 -0.83059824
6jG2YzhxptolDzLHTGLt7S,2.0909774 -0.19884314 0.6127515 1.1474178 -1.6002841
5tsI3xxDHDgzHhn30LTQNz,1.9068899 0.94429547 1.6567576 -0.057677384 -1.589366
0wpbHnOW0zVUtV10LSj9c9,2.8892689 0.9599114 -1.0912651 1.2197363 -0.18881433
2iXdwVdzA0KrI2Q0iZNJbX,2.9515045 -0.93724346 1.2389255 1.0777112 -0.27094087
0BgbobvykXxEvxo2HhCuvM,2.67097 -1.0759207 1.3309084 1.0761725 -0.21899478
5JlH51YDYsGj2dyEJKKjcN,2.9164233 -1.3168939 2.3545833 1.9281466 -1.0608357
1wHZx0LgzFHyeIZkUydNXq,2.70665 0.7676656 1.405522 1.0600402 0.54365385
6M5cQCyieE1Q8YQydVLzxL,2.3263958 -0.494787 1.2044672 0.39727426 -1.5536591
3AJwUDP919kvQ9QcozQPxg,2.0567038 0.74766415 -0.11308515 1.803039 0.55223554
6Qyc6fS4DsZjB2mRW9DsQs,1.7404304 0.7957903 0.29003334 0.7526775 -0.8844194
1WoOzgvz6CgH4pX6a1RKGp,2.8659718 0.064971626 0.087085985 0.575399 -0.8439606
5MhsZlmKJG6X5kTHkdwC4B,3.3498983 -0.5230475 3.2014954 0.39943066 -2.4521673
7lGKEWMXVWWTt3X71Bv44I,3.340814 0.47462115 -0.40496248 1.281379 -0.53727895
0dQQWHlXvuw4UyHcAvhfhB,3.5210571 2.922307 -0.31535533 -0.14838126 -1.9712073
2ANLarE8yHVsLWW21nj79M,1.6808056 1.6294047 0.39537495 0.3427454 -1.0372646
52vA3CYKZqZVdQnzRrdZt6,2.6234682 1.1812204 0.93344474 1.0974951 -1.5170875
4aX4Oycsk1fhHIee1zqsDe,0.7958849 0.5773957 0.37857363 0.4866978 -0.7951263
7w9bgPAmPTtrkt2v16QWvQ,2.0726137 2.2142432 0.035803188 1.158561 -0.8381958
4GVD0FIBo08FSAy3tbIY7g,2.0387394 1.3973318 -0.05871633 0.60102385 -1.7416729
6aGNg25mRJdqd318f9X6Wn,2.5538156 0.9804545 -0.49910662 0.73044163 -0.35430822
4bPQs0PHn4xbipzdPfn6du,2.3173451 0.1255858 0.009288268 1.83559 -0.2318306
0JEqGkvUiMTQmFY6sgL9kg,1.7938006 1.8919997 -0.006809987 1.0032643 -1.5813067
6MreoQf8oixWI2xRcw3Fv1,0.9117667 1.0148286 0.8817056 1.3328685 -1.3804115
6lV2MSQmRIkycDScNtrBXO,2.599843 1.2370116 -1.4063168 1.3305352 -0.17864428
6DNtNfH8hXkqOX1sjqmI7p,1.8124691 -0.9007324 1.5264931 0.39591715 -2.3053849
4gMgiXfqyzZLMhsksGmbQV,2.5512364 0.23277122 0.10207763 1.4802883 -1.6767673
4B4zDmbHdkXZ1wUJv1yKFy,3.2033217 -1.406057 1.2150149 -0.36505568 -2.7768898
0SGkqnVQo9KPytSri1H6cF,1.9240665 1.448497 0.2844098 0.6104277 -0.7210311
5lXcSvHRVjQJ3LB2rLKQog,2.3757265 1.285662 0.70665497 0.9989968 -1.2163709
4gFXY5yvHayGckJndafYQE,1.4817636 0.60038036 0.4852061 0.49339202 -1.2538867
02XnQdf7sipaKBBHixz3Zp,1.7131934 1.5346028 0.8414403 0.8705926 -2.467539
6hmhG1b4LEyNuashVvuIAo,2.0147955 0.20353304 0.5491882 1.1964575 -1.2162058
0yD66650JxhqKbW76C2qCo,1.2243532 0.5743873 0.7390921 0.83614993 -0.9754805
3b7CDTKB0SRTmQ6ytYi5vZ,1.3623378 0.011031444 0.7805458 1.122804 -0.90893567
2H8LPaY3NSjmOFMH2Rygnz,2.0580623 1.089176 0.30414557 0.8272264 -0.6800534
6eYYm2xwrvdav2yakF3cqg,1.7754798 0.8319557 0.57729715 1.136221 -0.9397046
0iOZM63lendWRTTeKhZBSC,3.1932347 0.091515675 0.31880528 2.1816728 -0.08473058
04DwTuZ2VBdJCCC5TROn7L,1.7010504 0.47711632 1.379397 -0.25941062 -1.6296997
6s0NHplywwr1IjnQpUpWJk,2.254965 1.0058852 0.90105104 1.4477137 -0.4234982
4RCWB3V8V0dignt99LZ8vH,2.2958655 0.7760442 -1.1249272 2.1816056 -1.443792
2SiXAy7TuUkycRVbbWDEpo,1.5288184 0.69036096 0.59459233 1.4442083 -0.5327985
0OwX5aROoW1Iip8FV51Efg,1.9612176 1.6069788 1.9837921 0.56694 -2.0533645
6WhzFzROw3aq3rPWjgYlxr,2.180144 0.50570333 1.4050379 0.18672408 -3.2262268
3b0EOvScbZUc0qJx0E1L2z,1.4186163 0.5182523 1.1945285 0.99892473 0.06799945
4TZy1wLyHec06pwgFYDh1a,1.5710304 -0.71049577 1.1460155 1.7418152 -0.82831204
0dA2Mk56wEzDgegdC6R17g,1.9276117 -0.68148136 0.93216336 1.9993476 -0.5251733
4X5f3vT8MRuXF68pfjNte5,1.6747012 2.8865056 2.153504 0.71474165 0.19959372
5ghIJDpPoe3CfHMGu71E6T,2.6411407 0.90843827 0.69439596 1.0215063 -0.9327265
0tICYNayWWhH9GPeFrfjfD,1.571329 0.6649139 0.9392334 1.5216706 -0.916757
2i0AUcEnsDm3dsqLrFWUCq,1.5581017 0.53220785 0.32496184 1.124183 -0.82300943
1bECKhfBNzods0soMPXwdQ,2.98417 -0.77876633 -0.1374257 1.35425 -2.1354053
11KJSRSgaDxqydKYiD2Jew,1.9582286 0.9056528 1.2007333 -0.32937884 -2.7960835
26rdOwwjC2UnweK3xeS58u,1.2687688 0.81420493 -0.040793397 0.7655972 -0.90258855
3DXncPQOG4VBw3QHh3S817,1.4879991 1.184552 0.7492854 1.6037214 -0.22118652
378iszndTZAR4dH8kwsLC6,1.3840438 0.40229958 0.64637065 0.37860116 -1.4196709
4FkgULes13bk2eHrsJg4q9,2.2090166 -1.5853329 2.3125656 2.4939961 -1.5320467
27GmP9AWRs744SzKcpJsTZ,2.2870824 0.037233748 1.5134737 -0.4129609 -1.8418809
0Y0TOsE1q11qgbi7c5WZsG,1.8195503 0.9873242 0.72884995 0.9416751 -0.72671044
2rizacJSyD9S1IQUxUxnsK,1.1213549 0.47752032 0.13826239 0.75143987 -0.6723154
52JyHLUiugFECIYBWM2qdh,1.2136531 0.92473936 1.0282542 1.1802484 -1.7163551
5maiP9UMnTSgoxPX8X3bdz,1.6908071 0.72028875 0.83464825 0.30997896 -0.8902693
2CPqh63wRVscbceKcPxwvv,1.0347695 0.24728458 0.3810754 0.7620268 -0.6147472
4o8STNAL91xc7EvuvqSKk1,2.479422 0.91233075 1.2335197 1.1039617 -0.9345854
1285n66OGGUB3Bnh6c18nS,2.6890404 0.15787873 0.20501544 2.734331 -1.0333048
20IZ0jYjnFO0NxyiaRsJwb,1.9965345 1.5489933 1.9406507 -0.14206196 -1.981641
4jTiyLlOJVJj3mCr7yfPQD,1.4228643 1.9435688 2.0115135 0.6553905 -1.7370455
2LawezPeJhN4AWuSB0GtAU,2.1458664 0.57318056 0.21493272 1.4464077 -0.6259712
5RsUlxLto4NZbhJpqJbHfN,2.0804455 0.63232356 0.65117484 1.4104842 -0.37771884
7d1CFwrBmH34gmS0Hkbfbt,1.3487523 0.9465068 0.40923962 0.5459475 -1.4610299
7hhAwcMTdCHxuYkCHCfzw7,1.2219192 0.42623577 0.0643571 0.6455618 -0.5627962
3Q4WeJmzxuDpzMu9QjQqbM,2.4166112 -0.106286466 -0.21771176 1.5201243 -3.4442585
5i66xrvSh1MjjyDd6zcwgj,1.694473 0.8848458 -0.8925246 0.74977505 -2.5697749
24nRdDUUIdM2mv1YdwMdu6,2.0593836 0.8435181 -0.8763435 0.75170976 -1.1827686
5gBQ3x6u7DCvMW1QoP3CpG,1.8450423 0.8122838 0.35730353 1.4996376 -0.09452998
0mUyMawtxj1CJ76kn9gIZK,1.2475553 0.6735869 -0.044128142 0.85601413 -0.5890098
6RcQOut9fWL6FSqeIr5M1r,1.8837979 0.8743971 -0.40736714 0.78123707 -1.2291842
31Q9ZTF9x81BDonlObCbvP,1.4130381 2.4449522 0.77645534 1.0819657 -0.5595311
6BaxqcoEM9r3LXisTyJjST,1.6604596 -0.67795223 0.14572275 1.7942531 -3.7321982
2nBI3iWLhupR7LyAJ5GGkE,1.2999479 1.0982893 0.16557315 1.4988567 -0.71897614
6lanRgr6wXibZr8KgzXxBl,1.6371619 0.28760874 0.0508539 0.8603963 -0.5061926
40qjDdULzkFRlivTqTggLH,2.050353 -0.49241665 0.30837083 1.227084 -0.67621297
1hWYT0w2R0J19rlVkiez7X,1.5653028 0.46950403 0.5423254 1.0821258 -0.73597956
6n2GPvMJtFZ4ckoc9EWHMx,2.776579 0.65687877 -1.2829636 1.1937976 -1.0603635
31G9RaSaDOI2NWcpnIp734,1.5239167 1.4982253 0.35431117 0.9666533 -0.5425685
20dP2DaMHIAmwWAbp7peSr,1.2659574 1.0772812 0.22833727 1.5859357 -0.63236344
7hsLKGEnoiNShdIGL6ws1f,1.258774 0.19824614 -0.53092724 0.48911488 -1.5751245
0z5ZPs57J2KERwM1tBM2GF,1.2469753 1.2606341 0.7578594 0.6603053 -0.39945295
68pN2UQYhwQgPy7VrCFKuV,1.9219395 0.5832874 0.77232003 1.1435523 -0.5811264
55nF5Tqgf0UCXH1jymBzeT,1.0279233 0.15604377 0.40134636 0.48426715 -0.8183463
6HZILIRieu8S0iqY8kIKhj,0.9761383 1.1331977 0.6579909 0.72144574 -0.67518497
