token,20tokens
angst,melancholy:0.16666666666666666 vibe:0.1111111111111111 people:0.1111111111111111 old:0.1111111111111111 korean:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 music:0.1 best:0.1 
sb,tb:0.3333333333333333 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 people:0.1111111111111111 piano:0.1111111111111111 20:0.1111111111111111 go:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 best:0.1111111111111111 90:0.1111111111111111 top:0.1111111111111111 
ski,go:0.5 ride:0.3333333333333333 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 
random,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
tune,music:0.5 song:0.25 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 oldie:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 
chill,korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 musical:0.2 
rap,korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 musical:0.2 
florida,motown:0.14285714285714285 cali:0.14285714285714285 top:0.1111111111111111 beat:0.1 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 catchy:0.08333333333333333 piano:0.08333333333333333 20:0.08333333333333333 go:0.08333333333333333 relaxing:0.08333333333333333 pop:0.08333333333333333 classic:0.08333333333333333 lit:0.08333333333333333 best:0.08333333333333333 90:0.08333333333333333 
gym,classic:0.16666666666666666 paisley:0.16666666666666666 dance:0.14285714285714285 trap:0.14285714285714285 ski:0.125 bus:0.125 musical:0.125 piano:0.1111111111111111 pump:0.1111111111111111 top:0.1111111111111111 broadway:0.1111111111111111 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 20:0.1 go:0.1 
80,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
catchy,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
song,oldie:0.5 music:0.3333333333333333 tune:0.25 people:0.125 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 piano:0.1111111111111111 20:0.1111111111111111 go:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 best:0.1111111111111111 
party,korean:0.2 melancholy:0.2 running:0.2 good:0.2 country:0.2 random:0.2 80:0.2 catchy:0.2 people:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 
people,party:0.2 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 tune:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 piano:0.16666666666666666 20:0.16666666666666666 go:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 music:0.16666666666666666 best:0.16666666666666666 90:0.16666666666666666 
piano,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
guy,sarah:0.16666666666666666 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 best:0.14285714285714285 90:0.14285714285714285 top:0.14285714285714285 old:0.14285714285714285 
20,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
summer,korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 musical:0.25 
oldie,song:0.5 music:0.25 tune:0.2 people:0.1111111111111111 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 best:0.1 
go,ski:0.5 ride:0.5 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 
relaxing,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
pick,korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 musical:0.2 
pop,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
pump,trap:0.2 ski:0.16666666666666666 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 rap:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 best:0.14285714285714285 90:0.14285714285714285 
motown,cali:0.3333333333333333 florida:0.14285714285714285 top:0.14285714285714285 beat:0.125 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 catchy:0.1 piano:0.1 20:0.1 go:0.1 relaxing:0.1 pop:0.1 classic:0.1 lit:0.1 best:0.1 90:0.1 
classic,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
beat,best:0.5 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 lit:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
lit,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
music,tune:0.5 song:0.3333333333333333 oldie:0.25 people:0.16666666666666666 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 best:0.14285714285714285 
dance,korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 musical:0.25 
best,beat:0.5 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 lit:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
cash,korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 musical:0.2 
christmas,summer:0.2 chill:0.14285714285714285 go:0.14285714285714285 day:0.14285714285714285 people:0.125 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 piano:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 music:0.1111111111111111 
bus,korean:0.2 melancholy:0.2 running:0.2 good:0.2 hit:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 
volleyball,best:0.14285714285714285 throw:0.125 hit:0.1 wedding:0.09090909090909091 people:0.09090909090909091 musical:0.09090909090909091 meow:0.09090909090909091 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 catchy:0.08333333333333333 piano:0.08333333333333333 20:0.08333333333333333 go:0.08333333333333333 relaxing:0.08333333333333333 pop:0.08333333333333333 classic:0.08333333333333333 
ride,go:0.5 ski:0.3333333333333333 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 
90,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
top,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
brad,korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 80:0.16666666666666666 catchy:0.16666666666666666 piano:0.16666666666666666 20:0.16666666666666666 go:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 best:0.16666666666666666 90:0.16666666666666666 top:0.16666666666666666 old:0.16666666666666666 musical:0.16666666666666666 
paisley,classic:0.2 gym:0.16666666666666666 dance:0.16666666666666666 trap:0.16666666666666666 ski:0.14285714285714285 bus:0.14285714285714285 musical:0.14285714285714285 piano:0.125 pump:0.125 top:0.125 broadway:0.125 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 catchy:0.1111111111111111 20:0.1111111111111111 go:0.1111111111111111 
old,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 musical:0.3333333333333333 legendary:0.3333333333333333 
musical,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 legendary:0.3333333333333333 
note,korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 90:0.2 top:0.2 old:0.2 musical:0.2 
legendary,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 
mayer,korean:0.125 guy:0.125 sarah:0.1111111111111111 chill:0.1 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 catchy:0.09090909090909091 people:0.09090909090909091 piano:0.09090909090909091 20:0.09090909090909091 go:0.09090909090909091 relaxing:0.09090909090909091 pop:0.09090909090909091 classic:0.09090909090909091 beat:0.09090909090909091 lit:0.09090909090909091 best:0.09090909090909091 
wrap,korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 musical:0.25 
broadway,classic:0.125 paisley:0.125 gym:0.1111111111111111 dance:0.1111111111111111 trap:0.1111111111111111 ski:0.1 bus:0.1 musical:0.1 piano:0.09090909090909091 pump:0.09090909090909091 top:0.09090909090909091 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 catchy:0.08333333333333333 20:0.08333333333333333 go:0.08333333333333333 
day,people:0.16666666666666666 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 chill:0.14285714285714285 80:0.14285714285714285 catchy:0.14285714285714285 piano:0.14285714285714285 20:0.14285714285714285 summer:0.14285714285714285 go:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 music:0.14285714285714285 best:0.14285714285714285 
aaa,melancholy:0.09090909090909091 vibe:0.08333333333333333 angst:0.08333333333333333 people:0.08333333333333333 old:0.08333333333333333 korean:0.07692307692307693 running:0.07692307692307693 good:0.07692307692307693 random:0.07692307692307693 80:0.07692307692307693 catchy:0.07692307692307693 piano:0.07692307692307693 20:0.07692307692307693 go:0.07692307692307693 relaxing:0.07692307692307693 pop:0.07692307692307693 classic:0.07692307692307693 beat:0.07692307692307693 lit:0.07692307692307693 music:0.07692307692307693 
acoustic,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 
like,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 
trap,korean:0.25 melancholy:0.25 running:0.25 good:0.25 ski:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 
studying,pick:0.16666666666666666 people:0.1 korean:0.09090909090909091 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 catchy:0.09090909090909091 piano:0.09090909090909091 20:0.09090909090909091 go:0.09090909090909091 relaxing:0.09090909090909091 pop:0.09090909090909091 classic:0.09090909090909091 beat:0.09090909090909091 lit:0.09090909090909091 music:0.09090909090909091 best:0.09090909090909091 90:0.09090909090909091 
latin,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 
cali,motown:0.3333333333333333 florida:0.14285714285714285 top:0.1111111111111111 beat:0.1 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 catchy:0.08333333333333333 piano:0.08333333333333333 20:0.08333333333333333 go:0.08333333333333333 relaxing:0.08333333333333333 pop:0.08333333333333333 classic:0.08333333333333333 lit:0.08333333333333333 best:0.08333333333333333 90:0.08333333333333333 
throw,hit:0.3333333333333333 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 catchy:0.2 piano:0.2 20:0.2 go:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 best:0.2 bus:0.2 90:0.2 top:0.2 
back,korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 catchy:0.3333333333333333 piano:0.3333333333333333 20:0.3333333333333333 go:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 90:0.3333333333333333 top:0.3333333333333333 old:0.3333333333333333 musical:0.3333333333333333 
meow,korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 catchy:0.25 piano:0.25 20:0.25 go:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 best:0.25 90:0.25 top:0.25 old:0.25 musical:0.25 
