key,vector
1AhDOtG9vPSOmsWgNW0BEY,8.464293 -1.1987646 -1.9929743 0.15480691 -7.145344
2fQrGHiQOvpL9UgPvtYy6G,7.845013 6.76969 3.147423 -0.23358354 4.8479214
1wHZx0LgzFHyeIZkUydNXq,4.5161343 5.1253138 4.946718 -7.455134 -1.986104
3pzjHKrQSvXGHQ98dx18HI,4.4055448 -1.8411008 2.7590835 -8.017946 -1.4998922
2gam98EZKrF9XuOkU13ApN,4.3857913 2.9951518 1.0547843 0.1496443 -6.704362
7KOlJ92bu51cltsD9KU5I7,6.874802 7.8181543 4.2890577 -2.6480165 2.374987
7KwZNVEaqikRSBSpyhXK2j,5.350427 5.885086 2.3256695 1.3346336 -3.4957054
4OZEu0Vwq0RB2LAq14v99n,4.267817 -0.21427357 6.3358426 -6.3529477 -1.4705148
1mr3616BzLdhXfJmLmRsO8,4.4120073 0.20780762 1.829966 1.8795674 -4.5008755
1fDsrQ23eTAVFElUMaf38X,7.632065 -2.0000432 -3.2765443 -0.012007413 -3.6963456
4gFXY5yvHayGckJndafYQE,4.793353 5.632156 0.82321304 0.93214893 -4.8362436
0IqKeD8ZSP72KbGYyzEcAs,5.8040686 -4.30191 2.5296867 2.0110667 -0.7495742
1yxgsra98r3qAtxqiGZPiX,6.954488 6.377462 3.6252563 -0.42918962 3.1658726
5masKPHeAOVNgxdLebIcK7,5.069571 -3.2723734 4.903608 -5.7899146 -4.2034936
6RUKPb4LETWmmr3iAEQktW,5.6035933 -1.249524 6.687439 3.5029874 -0.27715856
6i0V12jOa3mr6uu4WYhUBr,4.8435965 -3.4493206 4.820975 -3.9561841 0.088737644
32OlwWuMpZ6b0aN2RZOeMS,5.3651667 -1.4219053 3.7450333 2.341251 -4.745456
03fT3OHB9KyMtGMt2zwqCT,6.034484 1.7647352 -5.0977135 -6.4413342 2.1153753
0i5el041vd6nxrGEU8QRxy,4.393576 -1.3882841 -3.325881 -4.8867135 -1.0163156
5kNe7PE09d6Kvw5pAsx23n,6.1897717 0.13668177 -3.6545641 -6.570943 3.1388257
12REd1n8PeiHHWOh066tpr,5.488711 -2.8676646 6.402311 -5.4208255 0.4778295
6Ep6BzIOB9tz3P4sWqiiAB,6.919594 -2.778755 1.8457913 3.2733073 -2.6564193
11KJSRSgaDxqydKYiD2Jew,4.4900184 0.70203245 6.0060472 -6.232723 -1.6707275
4E5P1XyAFtrjpiIxkydly4,6.239045 3.3158092 1.3756915 1.4556099 -5.367945
1hGy2eLcmC8eKx7qr1tOqx,6.1109257 1.9712607 1.3964052 1.0896677 -6.037155
439TlnnznSiBbQbgXiBqAd,4.3003774 5.8985877 4.4252415 -2.7295673 -0.29111665
3ZFTkvIE7kyPt6Nu3PEa7V,4.965414 4.2582107 1.018506 -1.7266877 -7.631117
2FBUoWkIuQXwayw2RNo5l6,4.3244076 0.9584836 4.583861 -8.713269 -2.5179448
5uDASfU19gDxSjW8cnCaBp,3.5768006 4.481984 5.1282635 -2.960752 0.09642302
1e1JKLEDKP7hEQzJfNAgPl,7.805672 8.302305 1.2442051 0.041921884 3.690454
1Slwb6dOYkBlWal1PGtnNg,5.8838725 -4.6931715 2.0775142 0.81515026 -2.4883132
4bPQs0PHn4xbipzdPfn6du,6.4278727 -1.0578804 -1.4432889 1.3239967 -6.0927463
6YbhspuOar1D9WSSnfe7ds,3.1551614 0.7909814 3.0843513 1.9959154 -2.6099942
6fwdbPMwP1zVStm8FybmkO,6.123134 6.9251885 4.6772857 -1.5046589 0.96238774
3cHyrEgdyYRjgJKSOiOtcS,5.008507 -1.1605 2.7345448 1.6188138 -5.4248304
5NQbUaeTEOGdD6hHcre0dZ,3.9482055 0.67248064 5.162083 -6.269336 -2.8003078
3nAq2hCr1oWsIU54tS98pL,3.7881923 4.1431675 5.788048 -3.338613 -1.5275254
3bidbhpOYeV4knp8AIu8Xn,6.290676 -2.5568867 2.5649033 1.0620949 -5.667469
6RrXd9Hph4hYR4bf3dbM6H,5.751576 0.40316492 -2.9090676 1.8914266 -2.6901994
6mghCOaaSvrke0z1EUVUIf,7.2647214 1.1906258 -0.5295634 4.080462 -3.5171406
2GiJYvgVaD2HtM8GqD9EgQ,6.634082 -4.789401 4.2463026 -3.196226 3.4846828
40riOy7x9W7GXjyGp4pjAv,8.739635 -0.7561565 -5.492367 -3.7815356 -4.9101467
3hB5DgAiMAQ4DzYbsMq1IT,4.4269795 -1.995898 3.716603 -5.7631907 -1.782399
4Q3N4Ct4zCuIHuZ65E3BD4,7.3531957 7.960325 2.7947154 -0.15118858 2.2741451
0L7loeTIg6akW84aEQZpCT,4.343426 0.068044275 5.99411 -5.8543506 -2.5753443
6hmhG1b4LEyNuashVvuIAo,4.5078855 -2.416526 4.605558 -4.554137 -0.63753057
7EiZI6JVHllARrX9PUvAdX,3.9315062 5.0278535 5.2566814 -3.7666783 -0.3142527
5i66xrvSh1MjjyDd6zcwgj,6.7794085 2.5766582 0.5955944 0.32592818 -7.073169
7o2CTH4ctstm8TNelqjb51,8.513278 -2.6388707 -1.8729728 -2.143052 -6.7506413
7tr2za8SQg2CI8EDgrdtNl,4.597026 4.1047792 1.9612379 1.9301988 2.799415
3CRDbSIZ4r5MsZ0YwxuEkn,5.70585 -3.8042815 2.0334268 -5.311555 -3.9075553
67T6l4q3zVjC5nZZPXByU8,4.5311494 1.5122567 0.9917142 -0.09572167 -5.750201
4kbj5MwxO1bq9wjT5g9HaA,4.5513825 -3.2443273 4.353119 0.061493803 -3.0734336
3DXncPQOG4VBw3QHh3S817,6.087252 4.4144735 6.313696 1.2842555 1.0173795
6rbeWjEavBHvX2kr6lSogS,3.50177 4.1834874 4.3512316 -1.7187109 -3.6718361
3pXF1nA74528Edde4of9CC,3.1730354 4.0815573 4.1444817 -4.949112 1.0182365
72jbDTw1piOOj770jWNeaG,5.3566213 -2.0372767 7.2142034 1.2882543 -0.10220788
2CvOqDpQIMw69cCzWqr5yr,5.6002207 0.02023658 3.2020822 1.9526536 -4.8929863
2H3ZUSE54pST4ubRd5FzFR,6.6344566 -2.9393542 -2.0002701 -1.5842221 -4.8082666
6vnDoUOHTiVB5DvX18tJon,5.141494 -1.7282647 6.9831023 -3.173102 0.61178446
19a3JfW8BQwqHWUMbcqSx8,3.2176013 2.447577 6.265272 -3.8086364 -1.0903391
1Ser4X0TKttOvo8bgdytTP,2.4465568 4.4428606 4.5189037 -2.4231498 -2.4712367
2TfSHkHiFO4gRztVIkggkE,6.3004136 1.0978391 -2.3314567 1.5449371 -5.794084
6D0b04NJIKfEMg040WioJQ,5.843619 1.3978357 5.766133 3.6402874 2.51236
6mapJIPnQ23RTAevUoE0DL,5.719525 6.466971 4.803727 -2.1215405 1.3113546
3yrSvpt2l1xhsV9Em88Pul,6.4908247 -0.8793562 -2.7915573 0.5631002 -3.8007677
1jdNcAD8Ir58RlsdGjJJdx,7.2747126 -3.606806 -0.33788022 2.485845 -2.2073188
5lDriBxJd22IhOH9zTcFrV,6.973877 2.6258388 -2.2554991 1.8184532 -5.3180084
6Ius4TC0L3cN74HT7ENE6e,3.5373209 6.116123 2.3550484 -4.5378294 -0.18468678
2NBQmPrOEEjA8VbeWOQGxO,4.6355367 6.4176826 0.10322054 -0.15689641 -4.184658
2Oehrcv4Kov0SuIgWyQY9e,8.607652 -4.2926407 1.1380903 2.3225362 -2.9522245
0CAfXk7DXMnon4gLudAp7J,4.1110325 2.7864628 0.96872336 -0.85799253 -5.962554
3n69hLUdIsSa1WlRmjMZlW,5.0438604 -3.963073 -1.5208099 -1.4792247 1.8296957
6g1NlCpW7fgqDnWbCCDrHl,6.6712527 -4.4335713 2.7417624 -0.14533247 -4.708572
4RCWB3V8V0dignt99LZ8vH,8.332858 -0.031784587 0.42032632 4.208722 -3.9414117
6F609ICg9Spjrw1epsAnpa,4.5882473 2.3150895 6.580032 -4.7780147 -0.8648675
0z5ZPs57J2KERwM1tBM2GF,4.8710775 4.8921256 3.6449714 0.8534144 -3.311113
2q4rjDy9WhaN3o9MvDbO21,5.5009017 3.0789397 -0.78584456 0.16464949 -5.8411307
5tz69p7tJuGPeMGwNTxYuV,6.262379 4.847254 3.3255892 0.5861543 4.5283446
4bHsxqR3GMrXTxEPLuK5ue,6.973245 -1.2678123 -1.7689664 0.4832394 -5.966838
27SdWb2rFzO6GWiYDBTD9j,5.20307 -2.1985972 5.61068 -4.520097 -3.656393
6875MeXyCW0wLyT72Eetmo,6.8760266 -2.675667 7.126634 -3.147173 1.4379729
3ZMv9EzGoteNi5Qnx0KpEO,6.6626983 -3.3370016 -0.51282746 2.3855498 1.0340421
0d8ZbnRoW1TJ3qEleTrYHH,7.855743 0.96067417 -3.084206 2.8085508 -4.381773
78WVLOP9pN0G3gRLFy1rAa,7.021505 -0.43952298 -4.624868 0.77200216 -2.0631065
4qqArAiTPueDxIp7cf87h7,4.7346983 -2.1677506 5.3694186 -3.5543258 -0.43994352
5l3CML2OnzfNs5RfVgbcLt,4.8679547 -0.41774544 3.6160812 -0.8365136 -6.4316688
7wwifjNAb172PtDpKK3CoR,4.1144805 5.5782075 3.8067741 -1.2335377 -1.3625298
0pSBuHjILhNEo55xK1zrRt,3.9641366 4.725173 4.764791 0.28541848 -1.0628875
2771LMNxwf62FTAdpJMQfM,5.1571383 5.5016375 4.1898923 -0.058035012 1.9778683
0lmdsH1MIoLsMymnNpd6HU,5.865859 -2.006487 7.693789 -2.1020708 -1.2617122
7129iqBafaphfc3WPCGC0L,5.482676 -3.6339173 2.4610832 -4.696157 -3.0143
3b0EOvScbZUc0qJx0E1L2z,6.500757 -2.1457446 -0.9630898 0.3264501 -5.3571725
6jG2YzhxptolDzLHTGLt7S,4.8227735 0.72894734 4.3840337 1.9306271 -4.269172
1WP1r7fuvRqZRnUaTi2I1Q,5.373485 -4.476308 1.1584635 -5.4028177 -3.8169026
6fxVffaTuwjgEk5h9QyRjy,6.220893 -6.124374 3.5567248 -0.89627093 -1.6497175
4sPmO7WMQUAf45kwMOtONw,3.3793755 -3.248195 1.108548 -4.9604597 -2.7963085
2ZyuwVvV6Z3XJaXIFbspeE,5.448773 -3.3800132 4.9820566 -5.149847 -1.7987996
4Pwjz3DfvfQWV0rO2V8jyh,4.160681 6.4892793 3.351612 -3.1003344 -3.067693
6Xs7OKt6i0Ddq8B4M5Dgvr,4.8038797 -3.5797775 2.732331 -6.9654355 -2.4711444
4KW1lqgSr8TKrvBII0Brf8,4.6683435 6.6415267 5.2097626 -2.6761646 -1.1159061
0Rz1KXsP4bhGxs0ffySSSn,5.3654537 -1.3331933 3.4372425 0.62628603 -5.6961803
7hsLKGEnoiNShdIGL6ws1f,4.951474 -1.6844455 2.5796306 3.0215387 -2.5625935
5fVZC9GiM4e8vu99W0Xf6J,5.7447634 0.9629886 0.39751256 4.5297055 -1.4254357
1HwpWwa6bnqqRhK8agG4RS,3.9867067 1.0698574 -0.8757667 -0.5995197 -5.6682587
7yCqehT9dKACTFy7YugP0J,4.4565578 -0.17166291 6.9564605 -3.7258701 1.6442617
5ihS6UUlyQAfmp48eSkxuQ,6.3935575 -2.169063 -1.8843 1.566689 -0.94812346
6vECYJHxYmm3Ydt3fF01pE,7.2610636 -5.542323 -2.8559635 -3.0706072 -1.2210336
6SwRhMLwNqEi6alNPVG00n,5.4821687 5.8723865 4.129729 -0.9040539 2.0099769
4Kz4RdRCceaA9VgTqBhBfa,4.663294 3.7996576 4.505409 0.64838314 -3.1270154
6PGoSes0D9eUDeeAafB2As,4.862371 6.835122 3.1107626 -1.2302675 3.0634665
5oQcOu1omDykbIPSdSQQNJ,5.7709336 -1.5171553 0.15868773 1.9574256 -4.002764
42et6fnHCw1HIPSrdPprMl,5.6542397 2.1462297 -4.0864553 1.8145695 -2.9519653
27GmP9AWRs744SzKcpJsTZ,2.605385 3.0528767 3.6980739 -4.5667977 -1.5871307
3zByVQLvdXUaDTubfWkpCk,6.7681155 -1.6459283 -3.2441273 0.45078644 -4.17649
40YcuQysJ0KlGQTeGUosTC,5.5120354 -1.8301846 4.7757554 -7.4171505 -0.7812025
2aFiaMXmWsM3Vj72F9ksBl,5.5558896 -3.930137 4.158574 -6.225571 -0.62115616
0k2GOhqsrxDTAbFFSdNJjT,3.3350036 4.952113 1.576494 -1.0576346 -5.0925236
4YPhn26bIFm2KUkL1VLzQG,6.0212245 0.9749371 -5.4228044 -1.4595789 -2.5350811
34oWbFBfGEElvgO0a5c9V4,5.8026366 6.6137333 3.805745 -3.173234 2.317288
7t5m6zRwIEBxmPt8lNoPPi,4.278787 2.4597404 6.130081 -5.9653635 -0.5161931
3UfCFlGruX0DRPCpD1V3pU,6.9539256 -3.4654644 2.3309484 2.5238073 1.8436208
3cfOd4CMv2snFaKAnMdnvK,4.768454 1.5052804 0.08392478 2.6743221 -3.2828197
16qYlQ6koFxYVbiJbGHblz,3.4379532 4.030469 3.1213548 -3.8015666 2.2024243
6fAyRZ0GHuuvSOEIOwi58N,4.5516496 5.737962 4.7040315 -4.5486083 1.0761696
7ID2dydg1QFuWObmdhwzfm,2.9930964 -2.1034734 4.3055315 -1.7447137 -1.537628
2ihCaVdNZmnHZWt0fvAM7B,9.33208 -5.504975 -0.36020866 1.7561975 -0.28910315
6RsWqX8zABZLhZydXxEFOm,4.0238895 -2.6595774 4.9090843 -4.5421634 -4.6632032
5XzmZjXhMjDHr7ZfJ6DELQ,2.7060218 -0.80343556 2.4191694 1.259923 -2.903274
46GGxd8TVRt6FjUBfCavVT,4.171855 -4.3340125 1.0539063 -2.2887492 -2.9666512
5RsUlxLto4NZbhJpqJbHfN,5.6696033 -1.4633814 -1.4920788 -0.2572996 -4.369662
0uMUvbkTdjBNZ5UuHZ5PIj,4.74077 5.9652157 4.696463 -0.7309998 -0.5529497
5MxNLUsfh7uzROypsoO5qe,7.9107947 -1.2853255 -2.5573943 -4.2177587 -7.198283
6FE2iI43OZnszFLuLtvvmg,4.4751515 -3.4703362 0.42984262 1.0265049 -1.6518569
7GJClzimvMSghjcrKxuf1M,5.432747 -3.3127224 0.6646408 2.1521583 -0.78642285
0tICYNayWWhH9GPeFrfjfD,4.3759217 -0.4006968 6.360531 -3.3177767 -0.008965418
20dP2DaMHIAmwWAbp7peSr,5.3792276 5.9904094 5.359498 -0.68080497 -0.2199764
5JuA3wlm0kn7IHfbeHV0i6,5.486937 -1.9499747 -0.325802 1.9580505 2.9647787
7w5cxTEzp1rfV3KCy0Bd5N,5.500994 -1.5172185 -1.6775594 1.894675 2.5356536
6TaqooOXAEcijL6G1AWS2K,2.3060555 -0.3268356 5.0537453 -3.223384 -0.25288808
4F7A0DXBrmUAkp32uenhZt,5.214969 4.6214123 6.003395 -1.7901722 1.3130941
6cmm1LMvZdB5zsCwX5BjqE,5.3176312 4.940119 1.7538358 1.4698589 -2.8137264
2LvRR121MWFmmEGkuV2vQP,3.5894089 2.8382535 4.2334347 -0.87307346 -4.266569
2Z2vOukzwOgqR4dkymRSWd,6.9688473 -2.1092517 -4.38963 -1.2782799 -2.5510337
46lFttIf5hnUZMGvjK0Wxo,3.4726727 -3.69378 2.690278 -4.3460073 -1.751747
5ghIJDpPoe3CfHMGu71E6T,5.0577946 0.9756085 -5.084926 -2.596268 -3.2819593
66TRwr5uJwPt15mfFkzhbi,5.170133 1.6665934 0.62010056 0.24961439 -5.9790926
5b88tNINg4Q4nrRbrCXUmg,6.1218834 -1.8908827 0.85266244 1.4710115 -4.8337283
2ANLarE8yHVsLWW21nj79M,5.2008343 6.2878666 3.7450995 -3.341366 1.8615881
6b8Be6ljOzmkOmFslEb23P,5.5490417 0.65445906 8.528919 1.1449888 -1.1961355
2hKdd3qO7cWr2Jo0Bcs0MA,7.678841 -1.1676025 -1.6592108 3.7000334 -1.127829
2rizacJSyD9S1IQUxUxnsK,5.474341 -2.2540987 6.3508 -1.789969 -0.463665
5GXAXm5YOmYT0kL5jHvYBt,5.2679896 -0.3385621 6.0587244 2.055088 2.4047534
53QF56cjZA9RTuuMZDrSA6,7.6440973 -1.5943892 -3.20031 2.903693 -0.6335672
1QEEqeFIZktqIpPI4jSVSF,6.909518 -2.434735 -2.0702803 -2.4115007 -5.389739
5hgnY0mVcVetszbb85qeDg,5.252658 -0.13023208 5.1330934 1.3917783 -3.3345962
1rIKgCH4H52lrvDcz50hS8,3.0306163 -0.95384866 4.0438385 -3.2525125 -2.9529457
1f5cbQtDrykjarZVrShaDI,4.982395 6.5889173 2.852215 -0.00089747936 -0.1183789
4BP3uh0hFLFRb5cjsgLqDh,9.418556 -2.1899865 -4.2202783 -1.2151029 -4.3999214
7vFoFDWqTX0mHzLfrF1Cfy,4.4075327 -3.1698315 3.4851754 -4.1036434 -3.697351
5FEXPoPnzueFJQCPRIrC3c,2.4378247 3.3185723 2.9572163 0.7095905 -1.8109581
03tqyYWC9Um2ZqU0ZN849H,5.035035 6.519832 2.4224825 -0.25069302 -2.919902
6V2D8Lls36APk0THDjBDfE,3.9877036 3.5166574 4.0330205 -1.580447 -4.855208
2dqLk7ezV15LEJEwUmEbXB,2.8211873 -1.3660003 5.976706 -0.44226992 1.0289032
43PuMrRfbyyuz4QpZ3oAwN,3.4522352 2.4339123 4.3475227 -5.4005737 -0.91409653
44f2AVSNQ3xVs1EI0S0bjl,7.4534993 -1.5646143 -1.1779473 1.9698913 4.116655
1ivHxaGL5ld9VS1zsYc4YN,9.099536 -2.7098076 0.9217163 2.911415 3.2357638
5yuShbu70mtHXY0yLzCQLQ,4.787134 4.718614 4.7304916 -2.1534905 1.4939457
5mPSyjLatqB00IkPqRlbTE,3.9162009 2.5201018 6.0318227 -4.485088 -1.8855761
3KYiA4vq6RPO1dE2XROXd8,6.522991 -1.5524933 -2.464991 -2.1248286 -6.170778
3gbBpTdY8lnQwqxNCcf795,5.574147 -3.6476827 2.6053271 0.39867333 -2.424016
722tgOgdIbNe3BEyLnejw4,2.4659538 3.7636263 1.6639788 1.1326054 -1.3177317
0EMmVUYs9ZZRHtlADB88uz,6.33632 -2.4950051 -2.8624752 -0.38899288 -2.9018013
7w9bgPAmPTtrkt2v16QWvQ,3.0200396 3.156301 1.7867538 0.8502658 -3.8455389
1wYZZtamWTQAoj8B812uKQ,3.4017956 -1.3535732 4.130818 -7.207232 -0.69108087
4VrWlk8IQxevMvERoX08iC,5.193955 -3.5775607 2.7415342 -1.4304177 -4.6459193
5OMwQFBcte0aWFJFqrr5oj,6.3095403 1.502743 1.2803242 2.7795522 -5.0371084
3AYcyxEACnmE6d96RPubID,4.5549664 -2.024474 2.6420486 0.79515064 -4.824971
0O45fw2L5vsWpdsOdXwNAR,7.397236 5.167583 -1.2028056 1.4432806 -5.385031
0wdKiSBUT7aZkXUIdJWcwC,3.3725715 3.3218358 4.626525 -3.9554796 -0.90047574
1oTo3ijRbaDAtrjJrGAPSw,4.161902 2.8083324 -4.0773654 1.2001892 -0.51672316
0J6mQxEZnlRt9ymzFntA6z,6.814566 -1.2486583 -2.7276857 -2.215445 -6.152245
2LawezPeJhN4AWuSB0GtAU,7.984506 -1.8896769 -3.7336805 -0.47344285 -3.2870822
2Nz6aF1umHh5Et6I5H581L,5.65965 -1.529777 -3.1179533 -1.9367503 -4.299625
6UaRii9AH6Zss9xNMEQ2M9,4.258089 2.3581402 3.0281289 0.1759057 -4.9743714
3VzJE6yGuj8fDExUh6TLnc,4.668527 5.9792504 1.2572361 -0.10779806 -3.117208
31Q9ZTF9x81BDonlObCbvP,3.9640844 5.6892066 3.3847568 -1.8077406 -4.009381
04KTF78FFg8sOHC1BADqbY,5.1918902 4.0501 -0.59460336 1.141618 -5.0513153
5wTMQjEx9LWeFwLjolPCUy,6.274801 4.061351 -3.717096 3.5727632 0.472524
11bD1JtSjlIgKgZG2134DZ,6.458229 0.19890507 -1.4078295 3.1653116 -2.3183992
5uCax9HTNlzGybIStD3vDh,5.123283 -2.3417864 5.2520776 1.9024034 1.6943445
4NYwy0R3NdvORX2B6OZXBT,1.3537388 0.81454176 1.6858193 -2.1900108 -3.1593647
6qn9YLKt13AGvpq9jfO8py,4.6292353 -2.1088672 3.7773986 -0.12216999 -5.3664207
7DfFc7a6Rwfi3YQMRbDMau,2.65665 0.79923046 2.7719138 2.395632 -0.5592087
4knL4iPxPOZjQzTUlELGSY,5.410584 5.637519 4.4076495 -1.0764908 1.323041
5b9iBVhfYxDF4JJcHrNIx5,5.9109507 -2.8688111 -2.395371 -0.937732 2.926309
