token,20tokens
florida,motown:0.14285714285714285 top:0.1111111111111111 beat:0.1 throwback:0.08333333333333333 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 20:0.08333333333333333 relaxing:0.08333333333333333 pop:0.08333333333333333 classic:0.08333333333333333 lit:0.08333333333333333 christian:0.08333333333333333 best:0.08333333333333333 musical:0.08333333333333333 old:0.08333333333333333 blue:0.08333333333333333 
gym,classic:0.16666666666666666 paisley:0.16666666666666666 dance:0.14285714285714285 throwback:0.125 ski:0.125 bus:0.125 musical:0.125 pump:0.1111111111111111 top:0.1111111111111111 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 beat:0.1 lit:0.1 
80,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
jam,throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 20:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 christian:0.14285714285714285 best:0.14285714285714285 musical:0.14285714285714285 old:0.14285714285714285 top:0.14285714285714285 blue:0.14285714285714285 legendary:0.14285714285714285 
party,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 country:0.2 random:0.2 80:0.2 people:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 
people,party:0.2 throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 tune:0.16666666666666666 80:0.16666666666666666 20:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 music:0.16666666666666666 christian:0.16666666666666666 best:0.16666666666666666 musical:0.16666666666666666 old:0.16666666666666666 
20,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
relaxing,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
pick,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 legendary:0.2 
pop,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
pump,ski:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 rap:0.14285714285714285 80:0.14285714285714285 20:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 christian:0.14285714285714285 best:0.14285714285714285 musical:0.14285714285714285 old:0.14285714285714285 top:0.14285714285714285 
motown,florida:0.14285714285714285 top:0.14285714285714285 beat:0.125 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 classic:0.1 lit:0.1 christian:0.1 best:0.1 musical:0.1 old:0.1 blue:0.1 
classic,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
beat,best:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
lit,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
music,tune:0.5 song:0.3333333333333333 people:0.16666666666666666 throwback:0.14285714285714285 korean:0.14285714285714285 melancholy:0.14285714285714285 running:0.14285714285714285 good:0.14285714285714285 random:0.14285714285714285 80:0.14285714285714285 20:0.14285714285714285 relaxing:0.14285714285714285 pop:0.14285714285714285 classic:0.14285714285714285 beat:0.14285714285714285 lit:0.14285714285714285 christian:0.14285714285714285 best:0.14285714285714285 musical:0.14285714285714285 old:0.14285714285714285 
christian,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
song,music:0.3333333333333333 tune:0.25 people:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 christian:0.1111111111111111 best:0.1111111111111111 musical:0.1111111111111111 old:0.1111111111111111 
dance,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 top:0.25 blue:0.25 legendary:0.25 
best,beat:0.5 throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
cash,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 legendary:0.2 
bus,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 hit:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 
musical,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
volleyball,fun:0.16666666666666666 best:0.14285714285714285 hit:0.1 wedding:0.09090909090909091 people:0.09090909090909091 musical:0.09090909090909091 throwback:0.08333333333333333 korean:0.08333333333333333 melancholy:0.08333333333333333 running:0.08333333333333333 good:0.08333333333333333 random:0.08333333333333333 80:0.08333333333333333 20:0.08333333333333333 relaxing:0.08333333333333333 pop:0.08333333333333333 classic:0.08333333333333333 beat:0.08333333333333333 lit:0.08333333333333333 music:0.08333333333333333 
ride,ski:0.3333333333333333 throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 top:0.25 blue:0.25 
old,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
top,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 blue:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
blue,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 legendary:0.3333333333333333 ski:0.25 
grass,throwback:0.14285714285714285 korean:0.125 melancholy:0.125 running:0.125 good:0.125 random:0.125 tune:0.125 80:0.125 20:0.125 relaxing:0.125 pop:0.125 classic:0.125 beat:0.125 lit:0.125 christian:0.125 best:0.125 musical:0.125 old:0.125 top:0.125 blue:0.125 
brad,throwback:0.16666666666666666 korean:0.16666666666666666 melancholy:0.16666666666666666 running:0.16666666666666666 good:0.16666666666666666 random:0.16666666666666666 80:0.16666666666666666 20:0.16666666666666666 relaxing:0.16666666666666666 pop:0.16666666666666666 classic:0.16666666666666666 beat:0.16666666666666666 lit:0.16666666666666666 christian:0.16666666666666666 best:0.16666666666666666 musical:0.16666666666666666 old:0.16666666666666666 top:0.16666666666666666 blue:0.16666666666666666 legendary:0.16666666666666666 
paisley,classic:0.2 gym:0.16666666666666666 dance:0.16666666666666666 throwback:0.14285714285714285 ski:0.14285714285714285 bus:0.14285714285714285 musical:0.14285714285714285 pump:0.125 top:0.125 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 
fun,best:0.2 volleyball:0.16666666666666666 hit:0.125 wedding:0.1111111111111111 people:0.1111111111111111 musical:0.1111111111111111 throwback:0.1 korean:0.1 melancholy:0.1 running:0.1 good:0.1 random:0.1 80:0.1 20:0.1 relaxing:0.1 pop:0.1 classic:0.1 beat:0.1 lit:0.1 music:0.1 
note,throwback:0.2 korean:0.2 melancholy:0.2 running:0.2 good:0.2 random:0.2 80:0.2 20:0.2 relaxing:0.2 pop:0.2 classic:0.2 beat:0.2 lit:0.2 christian:0.2 best:0.2 musical:0.2 old:0.2 top:0.2 blue:0.2 legendary:0.2 
legendary,throwback:0.3333333333333333 korean:0.3333333333333333 melancholy:0.3333333333333333 running:0.3333333333333333 good:0.3333333333333333 random:0.3333333333333333 80:0.3333333333333333 20:0.3333333333333333 relaxing:0.3333333333333333 pop:0.3333333333333333 classic:0.3333333333333333 beat:0.3333333333333333 lit:0.3333333333333333 christian:0.3333333333333333 best:0.3333333333333333 musical:0.3333333333333333 old:0.3333333333333333 top:0.3333333333333333 blue:0.3333333333333333 ski:0.25 
mayer,throwback:0.14285714285714285 christian:0.14285714285714285 korean:0.125 sarah:0.1111111111111111 chill:0.1 melancholy:0.09090909090909091 running:0.09090909090909091 good:0.09090909090909091 random:0.09090909090909091 80:0.09090909090909091 people:0.09090909090909091 20:0.09090909090909091 relaxing:0.09090909090909091 pop:0.09090909090909091 classic:0.09090909090909091 beat:0.09090909090909091 lit:0.09090909090909091 best:0.09090909090909091 musical:0.09090909090909091 old:0.09090909090909091 
wrap,throwback:0.25 korean:0.25 melancholy:0.25 running:0.25 good:0.25 random:0.25 80:0.25 20:0.25 relaxing:0.25 pop:0.25 classic:0.25 beat:0.25 lit:0.25 christian:0.25 best:0.25 musical:0.25 old:0.25 top:0.25 blue:0.25 legendary:0.25 
christmas,chill:0.14285714285714285 people:0.125 throwback:0.1111111111111111 korean:0.1111111111111111 melancholy:0.1111111111111111 running:0.1111111111111111 good:0.1111111111111111 random:0.1111111111111111 80:0.1111111111111111 20:0.1111111111111111 relaxing:0.1111111111111111 pop:0.1111111111111111 classic:0.1111111111111111 beat:0.1111111111111111 lit:0.1111111111111111 music:0.1111111111111111 christian:0.1111111111111111 best:0.1111111111111111 musical:0.1111111111111111 old:0.1111111111111111 
